"","country","year","GOV_Cab_LR","Cab_LR_lag1","Cab_LR_lag2","Cab_LR_lag3","Cab_LR_lag4","Cab_LR_lag5","dyn_cab_LR1","dyn_cab_LR2","dyn_cab_LR3","dyn_cab_LR4","dyn_cab_LR5","pall","gdp_pc","econ_dev","delta_ineq","yearly_net_migration","Country","EFindex","democracy","group"
"610",250,1978,6.84882116317749,5.66964912414551,5.48548126220703,5.2193489074707,5.3079400062561,5.52224922180176,1.17917203903198,0.184167861938477,0.266132354736328,-0.0885910987854004,-0.214309215545654,0.4096631774,30576.4,0.0252416896691566,-0.0017271646,51685.8,NA,NA,1,NA
"611",250,1979,8.12125110626221,6.84882116317749,5.66964912414551,5.48548126220703,5.2193489074707,5.3079400062561,1.27242994308472,1.17917203903198,0.184167861938477,0.266132354736328,-0.0885910987854004,0.4079360128,31348.2,0.0065075506727659,-0.0226382253,51685.8,NA,NA,1,NA
"612",250,1980,9.18584060668945,8.12125110626221,6.84882116317749,5.66964912414551,5.48548126220703,5.2193489074707,1.06458950042725,1.27242994308472,1.17917203903198,0.184167861938477,0.266132354736328,0.3852977875,31552.2,0.000250378737457224,-0.00102206309999997,58314,NA,NA,1,NA
"613",250,1981,-5.07381248474121,9.18584060668945,8.12125110626221,6.84882116317749,5.66964912414551,5.48548126220703,-14.2596530914307,1.06458950042725,1.27242994308472,1.17917203903198,0.184167861938477,0.3842757244,31560.1,0.0139638340816411,-0.00230608930000004,58314,NA,NA,1,NA
"614",250,1982,-17.7423934936523,-5.07381248474121,9.18584060668945,8.12125110626221,6.84882116317749,5.66964912414551,-12.6685810089111,-14.2596530914307,1.06458950042725,1.27242994308472,1.17917203903198,0.3819696351,32000.8,0.00283742906427337,0.000864128600000014,58314,NA,NA,1,NA
"615",250,1983,-14.5563764572144,-17.7423934936523,-5.07381248474121,9.18584060668945,8.12125110626221,6.84882116317749,3.18601703643799,-12.6685810089111,-14.2596530914307,1.06458950042725,1.27242994308472,0.3828337637,32091.6,0.00527863989330546,0.00310042020000001,58314,NA,NA,1,NA
"616",250,1984,-11.1470928192139,-14.5563764572144,-17.7423934936523,-5.07381248474121,9.18584060668945,8.12125110626221,3.40928363800049,3.18601703643799,-12.6685810089111,-14.2596530914307,1.06458950042725,0.3859341839,32261,0.00595765785313539,-0.000300802099999997,58314,NA,NA,1,NA
"617",250,1985,-7.388916015625,-11.1470928192139,-14.5563764572144,-17.7423934936523,-5.07381248474121,9.18584060668945,3.75817680358887,3.40928363800049,3.18601703643799,-12.6685810089111,-14.2596530914307,0.3856333818,32453.2,0.0130372351570878,0.00434269479999999,55276.6,NA,NA,1,NA
"618",250,1986,7.89840507507324,-7.388916015625,-11.1470928192139,-14.5563764572144,-17.7423934936523,-5.07381248474121,15.2873210906982,3.75817680358887,3.40928363800049,3.18601703643799,-12.6685810089111,0.3899760766,32876.3,0.0143294713821202,0.00222630169999999,55276.6,NA,NA,1,NA
"619",250,1987,12.162691116333,7.89840507507324,-7.388916015625,-11.1470928192139,-14.5563764572144,-17.7423934936523,4.26428604125977,15.2873210906982,3.75817680358887,3.40928363800049,3.18601703643799,0.3922023783,33347.4,0.0369654006009463,0.00031156739999999,55276.6,NA,NA,1,NA
"620",250,1988,4.3091926574707,12.162691116333,7.89840507507324,-7.388916015625,-11.1470928192139,-14.5563764572144,-7.8534984588623,4.26428604125977,15.2873210906982,3.75817680358887,3.40928363800049,0.3925139457,34580.1,0.0319866050127096,0.00843702070000002,55276.6,NA,NA,1,NA
